harvest,year,date,location,point,disturb,slash,fern,herb,low_cov,low_spp,invasive_cov,invasive_spp,mid_cov,mid_spp,upper_cov,upper_spp,vine_cov,vine_spp,baf,oakhick,beech,maple,birch,hdwd,conifer,ba,seedling-numb
boot,2019,2020.06.19,perimeter,952,p,m,l,p,h,rubu,a,NA,p,951,p,316,a,NA,10,NA,NA,2,NA,NA,NA,20,25
boot,2019,2020.06.19,perimeter,953,a,l,p,p,m,rubu,a,NA,p,316,m,316,p,viti,10,NA,1,3,1,NA,NA,50,25
boot,2019,2020.06.12,perimeter,954,p,l,p,m,h,samb,a,NA,m,531,m,316,p,viti,10,NA,NA,3,NA,NA,NA,30,50
boot,2019,2020.06.12,perimeter,955,l,p,m,m,h,samb,a,NA,p,761,p,316,a,NA,10,NA,NA,2,NA,NA,NA,20,10
boot,2019,2020.06.12,perimeter,956,p,l,m,l,h,rubu,p,loni,a,NA,l,316,a,NA,10,1,NA,1,NA,NA,NA,20,10
boot,2019,2020.06.12,perimeter,957,a,m,a,l,h,rubu,a,NA,l,761,l,833,p,viti,10,4,NA,2,NA,NA,NA,60,1
boot,2019,2020.06.15,perimeter,958,a,l,p,m,h,rubu,a,NA,p,761,m,318,a,NA,10,1,NA,3,NA,NA,NA,40,50
boot,2019,2020.06.15,perimeter,959,a,p,p,p,h,rubu,a,NA,l,761,m,833,a,NA,10,3,NA,NA,NA,1,NA,40,75
boot,2019,2020.06.22,perimeter,960,a,l,p,m,h,rubu,a,NA,m,761,p,318,p,viti,10,NA,NA,1,NA,NA,NA,10,25
boot,2019,2020.06.22,perimeter,961,a,m,p,l,h,rubu,p,rosa,l,951,l,318,a,NA,10,1,NA,1,NA,NA,NA,20,25
boot,2019,2020.06.16,perimeter,962,m,l,p,m,h,rubu,a,NA,l,951,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,10
boot,2019,2020.06.16,perimeter,963,p,m,p,h,h,rubu,a,NA,l,761,p,531,a,NA,10,NA,1,NA,NA,NA,NA,10,50
boot,2019,2020.06.16,perimeter,964,m,p,l,m,h,rubu,a,NA,p,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,100
boot,2019,2020.06.16,perimeter,965,p,p,l,m,m,rubu,p,loni,p,315,m,833,a,NA,10,2,NA,1,NA,NA,NA,30,100
gas_line,2019,2020.07.14,control,729,l,l,p,m,m,rubu,a,NA,l,746,l,833,a,NA,10,3,NA,NA,NA,NA,NA,30,1
gas_line,2019,2020.07.14,control,730,l,m,m,m,l,rubu,a,NA,l,316,m,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1
gas_line,2019,2020.07.14,control,731,p,m,a,m,h,rubu,a,NA,p,316,l,833,p,conv,10,2,NA,NA,NA,NA,NA,20,1
gas_line,2019,2020.07.14,control,732,l,h,p,p,m,rubu,a,NA,l,316,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,0
gas_line,2019,2020.07.14,control,733,a,h,l,l,m,rubu,a,NA,l,316,l,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1
gas_line,2019,2020.07.14,control,734,a,l,l,m,m,rubu,a,NA,p,355,m,833,a,NA,10,4,NA,NA,NA,NA,NA,40,1
gas_line,2019,2020.07.14,control,735,p,l,p,m,l,rubu,a,NA,l,746,m,833,p,conv,10,3,NA,NA,NA,NA,NA,30,1
gas_line,2019,2020.07.13,control,736,l,l,p,h,m,rubu,a,NA,l,316,l,833,a,NA,10,2,NA,NA,NA,NA,NA,20,0
gas_line,2019,2020.07.13,control,737,a,m,p,h,m,rubu,a,NA,m,316,m,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1
gas_line,2019,2020.07.14,control,738,l,m,p,m,l,rubu,a,NA,l,316,m,833,a,NA,10,4,NA,NA,NA,NA,1,50,10
gas_line,2019,2020.07.13,control,739,l,m,l,l,m,rubu,a,NA,m,315,l,833,NA,NA,10,5,NA,NA,NA,NA,NA,50,1
gas_line,2019,2020.07.13,control,740,p,m,p,l,m,rubu,a,NA,p,761,m,833,a,NA,10,3,NA,NA,NA,NA,NA,30,1
gas_line,2019,2020.07.10,control,741,a,l,p,m,m,rubu,a,NA,p,316,h,833,a,NA,10,4,NA,NA,NA,NA,NA,40,1
gas_line,2019,2020.07.10,control,742,a,l,p,l,l,rubu,a,NA,p,316,h,833,a,NA,10,5,NA,NA,NA,NA,NA,50,10
gas_line,2019,2020.07.10,control,743,l,m,p,m,m,rubu,a,NA,p,531,l,833,a,NA,10,3,NA,NA,NA,1,NA,40,1
gas_line,2019,2020.07.10,control,744,l,m,p,m,m,rubu,a,NA,p,372,p,833,p,viti,10,3,NA,NA,NA,NA,NA,30,1
gas_line,2019,2020.07.10,control,745,a,m,p,p,m,rubu,a,NA,l,531,p,833,a,NA,10,2,NA,NA,NA,NA,NA,20,1
red_pine,2019,2020.07.17,control,746,m,p,l,m,l,rubu,a,NA,l,531,l,832,a,NA,10,4,NA,1,NA,NA,NA,50,1
red_pine,2019,2020.07.17,control,747,m,a,l,h,m,rubu,a,NA,p,832,p,832,a,NA,10,3,NA,NA,NA,NA,NA,30,10
red_pine,2019,2020.07.17,control,748,m,a,m,h,m,rubu,a,NA,p,261,p,261,a,NA,10,3,NA,NA,NA,NA,1,40,1
red_pine,2019,2020.07.17,control,750,l,p,p,h,l,rubu,a,NA,p,261,l,832,a,NA,10,2,NA,NA,NA,NA,2,40,1
red_pine,2019,2020.07.17,control,751,m,p,p,h,l,rubu,a,NA,m,531,m,832,a,NA,10,4,NA,NA,NA,NA,NA,40,1
red_pine,2019,2020.07.16,control,752,m,l,p,l,m,rubu,a,NA,p,316,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,753,m,m,p,l,m,rubu,a,NA,a,NA,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,754,l,m,p,l,m,rubu,a,NA,a,NA,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,755,m,m,a,l,m,rubu,a,NA,p,316,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,756,m,m,p,l,m,rubu,p,elae,p,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,757,m,m,a,l,m,rubu,p,elae,p,743,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,758,l,l,p,p,m,rubu,p,elae,p,531,p,833,a,NA,10,3,NA,NA,NA,NA,NA,30,1
red_pine,2019,2020.07.16,control,759,l,l,p,l,l,rubu,p,elae,l,531,m,833,p,viti,10,4,NA,NA,NA,NA,NA,40,10
red_pine,2019,2020.07.16,control,760,l,m,l,m,p,rubu,a,NA,m,743,l,833,p,viti,10,1,NA,NA,NA,NA,NA,10,10
red_pine,2019,2020.07.16,control,761,l,m,l,p,m,rubu,a,NA,m,743,p,372,a,NA,10,NA,NA,NA,1,NA,NA,10,1
red_pine,2019,2020.07.16,control,762,l,l,a,m,m,rubu,p,loni,m,743,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,1
red_pine,2019,2020.07.16,control,763,a,l,p,m,l,rubu,a,NA,p,743,a,NA,a,NA,10,3,NA,NA,NA,NA,NA,30,1
red_pine,2019,2020.07.17,control,764,p,m,p,l,l,rubu,a,NA,p,531,p,129,a,NA,10,1,NA,NA,NA,NA,1,20,1
red_pine,2019,2020.07.17,control,765,m,m,a,m,p,rubu,a,NA,m,531,l,129,p,viti,10,NA,NA,NA,NA,NA,3,30,1
red_pine,2019,2020.07.16,control,766,m,p,p,m,m,rubu,a,NA,m,743,a,NA,a,NA,10,1,NA,NA,NA,NA,NA,10,1
red_pine,2019,2020.07.16,control,767,p,p,m,m,p,rubu,a,NA,l,129,p,316,a,NA,10,NA,NA,1,NA,NA,1,20,10
red_pine,2019,2020.07.16,control,768,a,p,p,h,p,rubu,p,elae,p,531,m,833,a,NA,10,3,NA,NA,NA,NA,NA,30,25
red_pine,2019,2020.07.16,control,769,a,l,l,h,m,rubu,a,NA,p,701,p,833,p,viti,10,2,NA,NA,NA,NA,NA,20,10
red_pine,2019,2020.07.16,control,770,p,p,l,h,l,rubu,p,elae,l,701,p,833,p,viti,10,NA,NA,NA,NA,NA,NA,0,25
red_pine,2019,2020.07.16,control,771,m,m,p,m,m,rubu,a,NA,l,129,p,833,p,viti,10,2,NA,NA,NA,NA,NA,20,10
red_pine,2019,2020.07.16,control,772,m,m,p,m,p,rubu,a,NA,l,833,m,833,a,NA,10,1,NA,NA,NA,NA,NA,10,25
red_pine,2019,2020.07.16,control,773,m,m,a,m,l,vacc,a,NA,p,316,p,833,a,NA,10,1,NA,NA,NA,NA,1,20,1
red_pine,2019,2020.07.16,control,774,m,p,a,h,l,rubu,a,NA,l,129,a,NA,a,NA,10,NA,NA,NA,NA,NA,1,10,10
red_pine,2019,2020.07.16,control,775,l,l,a,h,l,rubu,a,NA,l,129,a,NA,p,viti,10,NA,NA,NA,NA,NA,2,20,1
sta_rd,2019,2020.07.06,control,384,a,p,p,h,p,rubu,p,loni,p,701,m,318,a,NA,10,NA,NA,4,NA,1,NA,50,1
sta_rd,2019,2020.07.06,control,385,l,l,p,h,l,rubu,p,loni,l,318,m,318,a,NA,10,NA,NA,3,NA,1,NA,40,10
sta_rd,2019,2020.06.29,control,386,p,l,l,m,h,rubu,a,NA,a,NA,p,316,a,NA,10,NA,NA,1,NA,NA,NA,10,1
sta_rd,2019,2020.06.29,control,387,p,m,p,p,m,rubu,a,NA,p,372,l,372,a,NA,10,NA,NA,2,1,NA,NA,30,1
sta_rd,2019,2020.07.06,control,388,p,m,p,l,h,rubu,a,NA,a,NA,p,316,a,NA,10,NA,NA,1,NA,NA,NA,10,1
sta_rd,2019,2020.07.06,control,389,p,m,a,m,h,rubu,a,NA,p,581,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,10
sta_rd,2019,2020.07.06,control,390,l,p,p,l,h,rubu,a,NA,p,315,a,NA,a,NA,10,NA,1,NA,NA,NA,NA,10,10
sta_rd,2019,2020.06.29,control,391,p,p,p,p,h,rubu,p,loni,a,NA,l,316,a,NA,10,NA,NA,2,NA,1,NA,30,10
sta_rd,2019,2020.06.29,control,392,p,p,p,m,m,rubu,p,loni,p,743,p,372,a,NA,10,NA,NA,2,1,NA,NA,30,10
sta_rd,2019,2020.06.29,control,393,a,p,p,l,h,rubu,a,NA,l,531,l,316,a,NA,10,NA,NA,1,NA,1,NA,20,10
sta_rd,2019,2020.07.07,control,394,m,l,l,m,l,rubu,a,NA,a,NA,h,318,a,NA,10,NA,NA,5,NA,NA,NA,50,25
sta_rd,2019,2020.07.07,control,395,p,l,m,m,m,rubu,p,loni,a,NA,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,50
sta_rd,2019,2020.07.07,control,396,a,h,p,l,h,rubu,a,NA,l,samb,a,NA,a,NA,10,NA,NA,2,NA,NA,NA,20,1
sta_rd,2019,2020.07.07,control,397,a,h,p,l,h,rubu,a,NA,p,samb,l,318,p,viti,10,NA,NA,3,NA,NA,NA,30,1
sta_rd,2019,2020.07.07,control,398,p,m,l,l,h,rubu,a,NA,p,531,l,318,p,viti,10,NA,NA,5,NA,NA,NA,50,1
sta_rd,2019,2020.07.09,control,399,a,m,l,m,h,rubu,a,NA,p,531,m,318,a,NA,10,NA,NA,3,1,NA,NA,40,50
sta_rd,2019,2020.07.09,control,400,a,m,m,l,m,samb,a,NA,a,NA,l,318,a,NA,10,NA,NA,5,NA,NA,NA,50,1
sta_rd,2019,2020.07.09,control,701,a,m,p,m,h,samb,p,NA,p,531,h,318,a,NA,10,NA,3,5,NA,NA,NA,80,1
sta_rd,2019,2020.07.09,control,702,p,m,l,m,h,rubu,a,NA,a,NA,m,318,a,NA,10,NA,NA,5,NA,NA,NA,50,100
sta_rd,2019,2020.07.09,control,703,a,m,l,m,h,rubu,a,NA,p,samb,p,318,a,NA,10,NA,NA,2,NA,NA,NA,20,1
sta_rd,2019,2020.07.07,control,704,p,m,m,l,h,rubu,a,NA,p,samb,l,318,a,NA,10,NA,NA,5,NA,NA,NA,50,10
sta_rd,2019,2020.07.07,control,705,l,l,m,m,h,rubu,a,NA,p,372,p,318,a,NA,10,NA,NA,4,NA,NA,NA,40,1
sta_rd,2019,2020.07.07,control,706,p,m,p,m,h,rubu,a,NA,p,samb,p,318,p,viti,10,NA,NA,2,NA,NA,NA,20,10
sta_rd,2019,2020.07.07,control,707,p,m,m,l,m,rubu,a,NA,p,samb,l,318,a,NA,10,NA,NA,5,NA,NA,NA,50,10
sta_rd,2019,2020.07.07,control,708,m,l,l,m,m,rubu,a,NA,a,NA,m,318,a,NA,10,NA,NA,3,NA,NA,NA,30,75
sta_rd,2019,2020.07.07,control,709,a,p,h,l,l,rubu,p,loni,l,531,h,318,a,NA,10,NA,NA,7,NA,NA,NA,70,1
sta_rd,2019,2020.07.09,control,710,p,m,l,l,m,rubu,a,NA,l,samb,h,318,a,NA,10,NA,NA,4,NA,NA,NA,40,75
sta_rd,2019,2020.07.09,control,711,l,l,l,l,h,samb,a,NA,p,samb,m,318,a,NA,10,NA,NA,6,NA,NA,NA,60,50
sta_rd,2019,2020.07.09,control,712,a,l,p,l,h,samb,a,NA,m,samb,m,318,a,NA,10,NA,NA,7,NA,NA,NA,70,1
sta_rd,2019,2020.07.09,control,713,p,h,l,l,m,samb,a,NA,l,318,h,318,a,NA,10,NA,NA,6,NA,NA,NA,60,50
sta_rd,2019,2020.07.06,control,946,m,p,l,h,l,rubu,l,loni,l,372,m,318,a,NA,10,NA,NA,3,NA,2,NA,50,1
sta_rd,2019,2020.07.06,control,947,m,a,m,h,p,rubu,p,loni,l,315,h,951,a,NA,10,NA,NA,4,NA,2,NA,60,25
sta_rd,2019,2020.07.06,control,948,a,a,l,m,m,rubu,p,loni,m,315,m,318,a,NA,10,NA,NA,4,NA,1,NA,50,75
sta_rd,2019,2020.07.06,control,949,a,l,m,l,m,rubu,p,loni,m,372,m,318,a,NA,10,NA,NA,3,NA,NA,NA,30,50
gas_line,2019,2020.04.14,perimeter,801,p,p,l,h,m,rubu,a,NA,l,NA,NA,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.14,perimeter,802,a,m,p,m,m,rubu,a,NA,l,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.14,perimeter,803,p,l,l,m,m,rubu,a,NA,p,951,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.15,perimeter,804,l,p,l,h,m,rubu,a,NA,p,541,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.15,perimeter,805,m,l,m,l,m,rubu,a,NA,p,531,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.15,perimeter,806,m,p,l,p,m,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.15,perimeter,807,m,p,l,l,m,rubu,p,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.15,perimeter,808,p,p,p,l,m,rubu,a,NA,l,372,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.15,perimeter,809,p,p,p,m,m,rhus,p,loni,l,761,p,318,a,NA,10,NA,NA,2,NA,NA,NA,20,NA
gas_line,2019,2020.04.15,perimeter,810,a,p,a,p,p,rubu,a,NA,l,531,l,372,a,NA,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.15,perimeter,811,p,p,a,p,p,rubu,a,NA,p,740,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.15,perimeter,812,l,l,p,l,l,rubu,a,NA,l,740,a,NA,a,NA,10,NA,NA,NA,NA,1,NA,10,NA
gas_line,2019,2020.04.15,perimeter,813,l,p,l,l,m,rubu,a,NA,p,951,p,541,a,NA,10,NA,NA,NA,NA,1,NA,10,NA
gas_line,2019,2020.04.20,perimeter,814,h,p,p,l,h,rubu,a,NA,p,rubu,a,NA,a,NA,10,1,NA,1,NA,NA,NA,20,NA
gas_line,2019,2020.04.20,perimeter,815,h,p,m,l,m,rubu,a,NA,p,761,a,NA,p,viti,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.20,perimeter,816,h,l,l,m,m,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.17,perimeter,817,l,l,a,m,m,rubu,a,NA,p,531,l,833,a,NA,10,3,NA,NA,NA,NA,NA,30,NA
gas_line,2019,2020.04.17,perimeter,818,p,l,a,l,h,rubu,a,NA,p,761,p,762,a,NA,10,1,NA,1,NA,NA,NA,20,NA
gas_line,2019,2020.04.17,perimeter,819,p,m,a,p,l,rubu,a,NA,l,761,p,833,a,NA,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.17,perimeter,820,p,l,a,l,m,rubu,a,NA,l,740,p,318,a,NA,10,1,NA,1,NA,NA,NA,20,NA
gas_line,2019,2020.04.17,perimeter,821,l,p,a,m,m,rubu,p,NA,p,761,p,833,a,NA,10,2,NA,NA,NA,NA,NA,20,NA
gas_line,2019,2020.04.17,perimeter,822,m,p,a,h,l,rubu,a,NA,p,129,l,833,a,NA,10,1,NA,1,NA,NA,NA,20,NA
gas_line,2019,2020.04.16,perimeter,823,h,p,p,h,m,rubu,a,NA,p,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,824,m,p,a,m,m,rubu,p,NA,m,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,825,m,l,p,m,m,rubu,p,NA,m,761,a,NA,a,NA,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.16,perimeter,826,m,p,a,h,l,rubu,a,NA,a,NA,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,827,l,p,NA,h,l,rubu,a,NA,l,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,828,p,p,NA,h,l,rubu,a,NA,m,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,829,p,p,NA,h,m,rubu,a,NA,p,740,p,833,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,830,p,l,a,l,l,rubu,a,NA,p,740,l,833,a,NA,10,3,NA,NA,NA,NA,NA,30,NA
gas_line,2019,2020.04.16,perimeter,831,l,m,NA,m,m,rubu,a,NA,l,740,p,372,a,NA,10,NA,NA,NA,1,NA,NA,10,NA
gas_line,2019,2020.04.16,perimeter,832,m,p,NA,h,l,rubu,a,NA,p,316,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,833,p,p,NA,h,m,rubu,a,NA,p,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,834,m,p,NA,h,p,rubu,p,NA,p,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.16,perimeter,835,m,l,NA,m,m,rubu,a,NA,l,531,p,762,a,NA,10,NA,NA,1,NA,1,NA,20,NA
gas_line,2019,2020.04.08,interior,836,l,l,a,h,l,rubu,a,NA,a,NA,a,NA,a,NA,10,2,NA,NA,NA,NA,NA,20,NA
gas_line,2019,2020.04.08,interior,837,l,l,a,m,m,rubu,a,NA,l,rubu,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.08,interior,838,l,l,l,h,l,rubu,a,NA,l,761,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.14,interior,839,l,m,a,l,l,rubu,a,NA,l,rhus,a,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.14,interior,840,p,m,a,l,p,rubu,a,NA,a,NA,a,NA,NA,NA,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.04.14,interior,841,a,l,m,m,l,rubu,a,NA,a,NA,a,NA,a,NA,10,1,NA,2,NA,NA,NA,30,NA
gas_line,2019,2020.04.14,interior,842,l,l,p,l,h,rubu,a,NA,a,NA,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.14,interior,843,p,m,p,l,h,rubu,a,NA,p,rubu,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.04,interior,844,l,m,p,m,h,rubu,a,NA,p,samb,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.05,interior,845,m,l,m,l,h,rubu,a,NA,p,866,a,NA,l,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.08,interior,846,m,l,a,m,m,rubu,a,NA,p,761,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.05.08,interior,847,m,m,p,m,m,rubu,a,NA,m,761,a,NA,l,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.08,interior,848,m,p,a,herb,l,rubu,a,NA,p,740,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.08,interior,849,p,m,a,m,m,rubu,a,NA,l,761,p,318,m,fabu,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.05.08,interior,850,a,l,p,herb,m,rubu,a,NA,p,370,p,833,p,fabu,10,1,NA,NA,NA,NA,NA,10,NA
gas_line,2019,2020.05.08,interior,851,p,m,p,l,m,rubu,a,NA,l,370,l,318,p,fabu,10,NA,NA,2,NA,NA,NA,20,NA
gas_line,2019,2020.05.05,interior,852,p,m,m,m,m,rubu,a,NA,p,318,a,NA,l,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.05,interior,853,l,l,l,m,m,rubu,a,NA,l,rubu,a,NA,l,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.05,interior,854,a,p,p,m,m,rubu,a,NA,p,761,a,NA,m,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.05.08,interior,855,l,l,m,m,m,rubu,p,loni,p,866,p,318,m,fabu,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.23,interior,856,m,m,l,l,m,rubu,a,NA,l,951,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.06,interior,857,l,l,m,l,m,rubu,a,NA,p,951,a,NA,m,fabu,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.23,interior,858,m,l,l,h,l,rubu,a,NA,p,740,p,318,m,fabu,10,NA,NA,2,NA,NA,NA,20,NA
gas_line,2019,2020.04.23,interior,859,l,m,p,l,h,rubu,a,NA,p,761,a,NA,m,buck,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.22,interior,860,m,l,p,m,l,rubu,a,NA,p,999,p,318,a,NA,10,NA,NA,1,NA,NA,NA,10,NA
gas_line,2019,2020.04.23,interior,861,p,l,p,l,h,rubu,a,NA,p,740,p,318,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.06,interior,862,m,h,m,l,h,rubu,a,NA,l,951,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.06,interior,863,m,l,l,l,m,rubu,a,NA,p,999,a,NA,a,NA,10,NA,NA,NA,NA,NA,NA,0,NA
gas_line,2019,2020.04.06,interior,864,a,m,a,m,l,rubu,a,NA,m,531,l,531,a,NA,10,1,2,1,NA,NA,NA,40,NA
