harvest,season,wall,size,type,spp,tpa,wall_denom,points_occupied,age,spp_freq
campridge,2020,protected,exposed,interfering,ab,2856.2449801606444,94,38,1,40.42553191489361
campridge,2020,protected,exposed,other,ah,10.774849448999788,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,commercial,ba,54.329185332845746,94,4,1,4.25531914893617
campridge,2020,protected,exposed,commercial,bc,10.774849448999788,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,diversity,bta,1424.5548177072085,94,37,1,39.361702127659576
campridge,2020,protected,exposed,other,cc,132.33310931613286,94,2,1,2.127659574468085
campridge,2020,protected,exposed,diversity,ec,21.549698897999576,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,interfering,eh,219.59442478435193,94,6,1,6.382978723404255
campridge,2020,protected,exposed,other,empty,0,94,9,1,9.574468085106384
campridge,2020,protected,exposed,interfering,pc,918.8971190931192,94,25,1,26.595744680851062
campridge,2020,protected,exposed,diversity,qa,896.739838406746,94,22,1,23.404255319148938
campridge,2020,protected,exposed,commercial,rm,409.8992171498395,94,15,1,15.957446808510639
campridge,2020,protected,exposed,commercial,ro,68.74653249835447,94,6,1,6.382978723404255
campridge,2020,protected,exposed,diversity,sa,86.19879559199862,94,2,1,2.127659574468085
campridge,2020,protected,exposed,commercial,sb,1724.2782062272895,94,34,1,36.17021276595745
campridge,2020,protected,exposed,commercial,sh,10.774849448999788,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,diversity,sh,10.774849448999788,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,commercial,sm,43.09939779599926,94,2,1,2.127659574468085
campridge,2020,protected,exposed,interfering,stm,10.774849448999788,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,diversity,svb,21.549698897999576,94,2,1,2.127659574468085
campridge,2020,protected,exposed,commercial,wa,43.09939779599915,94,4,1,4.25531914893617
campridge,2020,protected,exposed,diversity,wh,59.48914101342234,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,diversity,wi,32.324548346999364,94,2,1,2.127659574468085
campridge,2020,protected,exposed,commercial,wp,10.774849448999788,94,1,1,1.0638297872340425
campridge,2020,protected,exposed,commercial,yb,126.71821554770948,94,5,1,5.319148936170213
