harvest,season,wall,type,tpa,wall_denom,points_occupied,age,spp_freq
campridge,2020,protected,commercial,184.38461119600927,94,16,1,17.02127659574468
campridge,2020,protected,diversity,241.74871245699026,94,25,1,26.595744680851062
campridge,2020,protected,interfering,81.94871608711523,94,10,1,10.638297872340425
campridge,2020,protected,other,24.584614826134572,94,1,1,1.0638297872340425
campridge,2021,protected,commercial,585.9333200228746,94,31,2,32.97872340425532
campridge,2021,protected,diversity,966.9948498279606,94,46,2,48.93617021276596
campridge,2021,protected,interfering,663.7846003056338,94,38,2,40.42553191489361
campridge,2021,protected,other,4.097435804355766,94,1,2,1.0638297872340425
circle,2020,protected,commercial,64.19316093490708,24,1,1,4.166666666666666
circle,2020,protected,diversity,657.9798995827939,24,5,1,20.833333333333336
circle,2020,protected,interfering,433.3038363106221,24,8,1,33.33333333333333
circle,2021,protected,commercial,160.48290233726766,24,5,2,20.833333333333336
circle,2021,protected,diversity,818.4628019200643,24,8,2,33.33333333333333
circle,2021,protected,interfering,1444.3461210354062,24,13,2,54.166666666666664
circle,2021,protected,other,96.28974140236059,24,2,2,8.333333333333332
circle,2022,protected,commercial,802.414511686338,24,13,3,54.166666666666664
circle,2022,protected,diversity,625.8833191153425,24,9,3,37.5
circle,2022,protected,interfering,1380.1529601005004,24,17,3,70.83333333333334
circle,2022,protected,other,385.15896560944213,24,4,3,16.666666666666664
decker,2020,protected,commercial,41.63880709291267,37,3,1,8.108108108108109
decker,2020,protected,diversity,10.409701773228162,37,1,1,2.7027027027027026
decker,2020,protected,interfering,229.01343901101947,37,11,1,29.72972972972973
decker,2020,protected,other,10.409701773228162,37,1,1,2.7027027027027026
decker,2021,protected,commercial,270.65224610393244,37,9,2,24.324324324324326
decker,2021,protected,diversity,187.3746319181071,37,5,2,13.513513513513514
decker,2021,protected,interfering,374.74926383621363,37,13,2,35.13513513513514
decker,2021,protected,other,31.229105319684486,37,3,2,8.108108108108109
decker,2022,protected,commercial,364.3395620629856,37,12,3,32.432432432432435
decker,2022,protected,diversity,156.1455265984225,37,4,3,10.81081081081081
decker,2022,control,interfering,77.03179312188841,15,3,3,20
decker,2022,protected,interfering,593.3530010740052,37,14,3,37.83783783783784
decker,2022,protected,other,104.09701773228173,37,5,3,13.513513513513514
gas_line,2019,control,commercial,271.8769169007824,17,4,2,23.52941176470588
gas_line,2019,protected,commercial,1375.5677343194345,77,48,2,62.33766233766234
gas_line,2019,control,diversity,294.53332664251445,17,4,2,23.52941176470588
gas_line,2019,protected,diversity,1260.520251085446,77,46,2,59.74025974025974
gas_line,2019,control,interfering,158.59486819212333,17,2,2,11.76470588235294
gas_line,2019,protected,interfering,740.3055442882778,77,37,2,48.05194805194805
gas_line,2019,protected,other,60.02477386121174,77,4,2,5.194805194805195
gas_line,2020,control,commercial,702.3487019936878,17,11,3,64.70588235294117
gas_line,2020,protected,commercial,1860.7679896975635,77,57,3,74.02597402597402
gas_line,2020,control,diversity,317.1897363842464,17,5,3,29.411764705882355
gas_line,2020,protected,diversity,1590.6565073221109,77,46,3,59.74025974025974
gas_line,2020,control,interfering,453.12819483463767,17,8,3,47.05882352941176
